,PST,Measured Qubits,Hop Count,Trial,PD on realdevice,PD on simulator,Backend Name
0,0.734375,"(12, 13, 14)",Single Execution,1.0,"{'000': 12, '001': 59, '010': 94, '011': 752, '100': 12, '101': 36, '110': 17, '111': 42}",{'011': 1024},ibmq_montreal
1,0.7275390625,"(12, 13, 14)",Single Execution,2.0,"{'000': 9, '001': 68, '010': 96, '011': 745, '100': 6, '101': 43, '110': 15, '111': 42}",{'011': 1024},ibmq_montreal
2,0.7412109375,"(12, 13, 14)",Single Execution,3.0,"{'000': 8, '001': 88, '010': 82, '011': 759, '100': 3, '101': 32, '110': 19, '111': 33}",{'011': 1024},ibmq_montreal
3,0.7509765625,"(12, 13, 14)",Single Execution,4.0,"{'000': 6, '001': 72, '010': 82, '011': 769, '100': 8, '101': 43, '110': 11, '111': 33}",{'011': 1024},ibmq_montreal
4,0.7529296875,"(12, 13, 14)",Single Execution,5.0,"{'000': 7, '001': 83, '010': 80, '011': 771, '100': 5, '101': 36, '110': 8, '111': 34}",{'011': 1024},ibmq_montreal
5,0.75390625,"(12, 13, 14)",Single Execution,6.0,"{'000': 12, '001': 59, '010': 91, '011': 772, '100': 2, '101': 41, '110': 9, '111': 38}",{'011': 1024},ibmq_montreal
6,0.7275390625,"(12, 13, 14)",Single Execution,7.0,"{'000': 11, '001': 75, '010': 82, '011': 745, '100': 3, '101': 47, '110': 14, '111': 47}",{'011': 1024},ibmq_montreal
7,0.7548828125,"(12, 13, 14)",Single Execution,8.0,"{'000': 6, '001': 81, '010': 75, '011': 773, '100': 4, '101': 39, '110': 11, '111': 35}",{'011': 1024},ibmq_montreal
8,0.7490234375,"(12, 13, 14)",Single Execution,9.0,"{'000': 4, '001': 72, '010': 96, '011': 767, '100': 1, '101': 34, '110': 19, '111': 31}",{'011': 1024},ibmq_montreal
9,0.7451171875,"(12, 13, 14)",Single Execution,10.0,"{'000': 8, '001': 82, '010': 88, '011': 763, '100': 5, '101': 38, '110': 11, '111': 29}",{'011': 1024},ibmq_montreal
10,0.75,"(12, 13, 14)",Single Execution,11.0,"{'000': 9, '001': 73, '010': 72, '011': 768, '100': 5, '101': 43, '110': 14, '111': 40}",{'011': 1024},ibmq_montreal
11,0.73046875,"(12, 13, 14)",Single Execution,12.0,"{'000': 8, '001': 92, '010': 89, '011': 748, '100': 3, '101': 36, '110': 9, '111': 39}",{'011': 1024},ibmq_montreal
12,0.72265625,"(12, 13, 14)",Single Execution,13.0,"{'000': 8, '001': 74, '010': 102, '011': 740, '100': 4, '101': 38, '110': 20, '111': 38}",{'011': 1024},ibmq_montreal
13,0.7216796875,"(12, 13, 14)",Single Execution,14.0,"{'000': 10, '001': 96, '010': 90, '011': 739, '100': 3, '101': 41, '110': 10, '111': 35}",{'011': 1024},ibmq_montreal
14,0.7353515625,"(12, 13, 14)",Single Execution,15.0,"{'000': 12, '001': 74, '010': 85, '011': 753, '100': 7, '101': 32, '110': 17, '111': 44}",{'011': 1024},ibmq_montreal
15,0.740234375,"(12, 13, 14)",Single Execution,16.0,"{'000': 6, '001': 81, '010': 94, '011': 758, '100': 2, '101': 37, '110': 11, '111': 35}",{'011': 1024},ibmq_montreal
16,0.7626953125,"(12, 13, 14)",Single Execution,17.0,"{'000': 9, '001': 64, '010': 86, '011': 781, '100': 5, '101': 35, '110': 8, '111': 36}",{'011': 1024},ibmq_montreal
17,0.7421875,"(12, 13, 14)",Single Execution,18.0,"{'000': 9, '001': 77, '010': 86, '011': 760, '100': 3, '101': 40, '110': 6, '111': 43}",{'011': 1024},ibmq_montreal
18,0.7421875,"(12, 13, 14)",Single Execution,19.0,"{'000': 7, '001': 69, '010': 84, '011': 760, '100': 3, '101': 48, '110': 12, '111': 41}",{'011': 1024},ibmq_montreal
19,0.759765625,"(12, 13, 14)",Single Execution,20.0,"{'000': 6, '001': 80, '010': 65, '011': 778, '100': 5, '101': 40, '110': 9, '111': 41}",{'011': 1024},ibmq_montreal
20,0.728515625,"(12, 13, 14)",Single Execution,21.0,"{'000': 5, '001': 86, '010': 81, '011': 746, '100': 8, '101': 44, '110': 11, '111': 43}",{'011': 1024},ibmq_montreal
21,0.728515625,"(12, 13, 14)",Single Execution,22.0,"{'000': 7, '001': 83, '010': 93, '011': 746, '100': 6, '101': 39, '110': 12, '111': 38}",{'011': 1024},ibmq_montreal
22,0.7158203125,"(12, 13, 14)",Single Execution,23.0,"{'000': 6, '001': 88, '010': 79, '011': 733, '100': 8, '101': 50, '110': 10, '111': 50}",{'011': 1024},ibmq_montreal
23,0.7197265625,"(12, 13, 14)",Single Execution,24.0,"{'000': 11, '001': 81, '010': 78, '011': 737, '100': 4, '101': 44, '110': 20, '111': 49}",{'011': 1024},ibmq_montreal
24,0.734375,"(12, 13, 14)",Single Execution,25.0,"{'000': 14, '001': 81, '010': 89, '011': 752, '100': 6, '101': 40, '110': 8, '111': 34}",{'011': 1024},ibmq_montreal
25,0.7451171875,"(12, 13, 14)",Single Execution,26.0,"{'000': 11, '001': 82, '010': 74, '011': 763, '100': 3, '101': 39, '110': 13, '111': 39}",{'011': 1024},ibmq_montreal
26,0.7353515625,"(12, 13, 14)",Single Execution,27.0,"{'000': 8, '001': 91, '010': 82, '011': 753, '100': 6, '101': 31, '110': 15, '111': 38}",{'011': 1024},ibmq_montreal
27,0.7431640625,"(12, 13, 14)",Single Execution,28.0,"{'000': 8, '001': 78, '010': 89, '011': 761, '100': 1, '101': 37, '110': 6, '111': 44}",{'011': 1024},ibmq_montreal
28,0.7490234375,"(12, 13, 14)",Single Execution,29.0,"{'000': 7, '001': 79, '010': 77, '011': 767, '100': 5, '101': 31, '110': 15, '111': 43}",{'011': 1024},ibmq_montreal
