,PST,Measured Qubits,Hop Count,Trial,PD on realdevice,PD on simulator,Backend Name
0,0.7216796875,"(4, 11, 17)",Single Execution,1.0,"{'000': 8, '001': 97, '010': 52, '011': 739, '100': 3, '101': 63, '110': 10, '111': 52}",{'011': 1024},ibmq_manhattan
1,0.650390625,"(4, 11, 17)",Single Execution,2.0,"{'000': 8, '001': 142, '010': 60, '011': 666, '100': 5, '101': 70, '110': 7, '111': 66}",{'011': 1024},ibmq_manhattan
2,0.6943359375,"(4, 11, 17)",Single Execution,3.0,"{'000': 18, '001': 105, '010': 54, '011': 711, '100': 7, '101': 64, '110': 8, '111': 57}",{'011': 1024},ibmq_manhattan
3,0.6962890625,"(4, 11, 17)",Single Execution,4.0,"{'000': 14, '001': 93, '010': 63, '011': 713, '100': 5, '101': 74, '110': 6, '111': 56}",{'011': 1024},ibmq_manhattan
4,0.677734375,"(4, 11, 17)",Single Execution,5.0,"{'000': 11, '001': 128, '010': 53, '011': 694, '100': 4, '101': 65, '110': 6, '111': 63}",{'011': 1024},ibmq_manhattan
5,0.697265625,"(4, 11, 17)",Single Execution,6.0,"{'000': 10, '001': 118, '010': 58, '011': 714, '100': 5, '101': 63, '110': 14, '111': 42}",{'011': 1024},ibmq_manhattan
6,0.7041015625,"(4, 11, 17)",Single Execution,7.0,"{'000': 7, '001': 108, '010': 57, '011': 721, '100': 4, '101': 57, '110': 11, '111': 59}",{'011': 1024},ibmq_manhattan
7,0.689453125,"(4, 11, 17)",Single Execution,8.0,"{'000': 12, '001': 112, '010': 59, '011': 706, '100': 2, '101': 62, '110': 8, '111': 63}",{'011': 1024},ibmq_manhattan
8,0.6728515625,"(4, 11, 17)",Single Execution,9.0,"{'000': 9, '001': 113, '010': 58, '011': 689, '100': 11, '101': 71, '110': 7, '111': 66}",{'011': 1024},ibmq_manhattan
9,0.69921875,"(4, 11, 17)",Single Execution,10.0,"{'000': 11, '001': 113, '010': 57, '011': 716, '100': 4, '101': 59, '110': 8, '111': 56}",{'011': 1024},ibmq_manhattan
10,0.7197265625,"(4, 11, 17)",Single Execution,11.0,"{'000': 14, '001': 93, '010': 57, '011': 737, '100': 5, '101': 60, '110': 8, '111': 50}",{'011': 1024},ibmq_manhattan
