,PST,Measured Qubits,Hop Count,Trial,PD on realdevice,PD on simulator,Backend Name
0,0.4921875,"(4, 11, 17)",Single Execution,1.0,"{'000': 46, '001': 123, '010': 153, '011': 504, '100': 23, '101': 64, '110': 28, '111': 83}",{'011': 1024},ibmq_manhattan
1,0.4775390625,"(4, 11, 17)",Single Execution,2.0,"{'000': 52, '001': 124, '010': 178, '011': 489, '100': 23, '101': 48, '110': 25, '111': 85}",{'011': 1024},ibmq_manhattan
2,0.490234375,"(4, 11, 17)",Single Execution,3.0,"{'000': 40, '001': 126, '010': 153, '011': 502, '100': 26, '101': 60, '110': 27, '111': 90}",{'011': 1024},ibmq_manhattan
3,0.455078125,"(4, 11, 17)",Single Execution,4.0,"{'000': 66, '001': 116, '010': 174, '011': 466, '100': 20, '101': 60, '110': 30, '111': 92}",{'011': 1024},ibmq_manhattan
4,0.4912109375,"(4, 11, 17)",Single Execution,5.0,"{'000': 46, '001': 119, '010': 147, '011': 503, '100': 24, '101': 83, '110': 25, '111': 77}",{'011': 1024},ibmq_manhattan
5,0.4697265625,"(4, 11, 17)",Single Execution,6.0,"{'000': 46, '001': 135, '010': 139, '011': 481, '100': 23, '101': 71, '110': 30, '111': 99}",{'011': 1024},ibmq_manhattan
6,0.5087890625,"(4, 11, 17)",Single Execution,7.0,"{'000': 56, '001': 122, '010': 148, '011': 521, '100': 21, '101': 58, '110': 27, '111': 71}",{'011': 1024},ibmq_manhattan
7,0.501953125,"(4, 11, 17)",Single Execution,8.0,"{'000': 50, '001': 124, '010': 135, '011': 514, '100': 26, '101': 59, '110': 34, '111': 82}",{'011': 1024},ibmq_manhattan
8,0.5087890625,"(4, 11, 17)",Single Execution,9.0,"{'000': 39, '001': 114, '010': 151, '011': 521, '100': 24, '101': 72, '110': 31, '111': 72}",{'011': 1024},ibmq_manhattan
9,0.5146484375,"(4, 11, 17)",Single Execution,10.0,"{'000': 43, '001': 106, '010': 177, '011': 527, '100': 23, '101': 49, '110': 22, '111': 77}",{'011': 1024},ibmq_manhattan
10,0.494140625,"(4, 11, 17)",Single Execution,11.0,"{'000': 33, '001': 128, '010': 154, '011': 506, '100': 22, '101': 62, '110': 30, '111': 89}",{'011': 1024},ibmq_manhattan
11,0.5107421875,"(4, 11, 17)",Single Execution,12.0,"{'000': 45, '001': 110, '010': 156, '011': 523, '100': 20, '101': 61, '110': 19, '111': 90}",{'011': 1024},ibmq_manhattan
12,0.4814453125,"(4, 11, 17)",Single Execution,13.0,"{'000': 44, '001': 126, '010': 134, '011': 493, '100': 25, '101': 74, '110': 45, '111': 83}",{'011': 1024},ibmq_manhattan
13,0.4853515625,"(4, 11, 17)",Single Execution,14.0,"{'000': 45, '001': 109, '010': 152, '011': 497, '100': 24, '101': 74, '110': 29, '111': 94}",{'011': 1024},ibmq_manhattan
14,0.4677734375,"(4, 11, 17)",Single Execution,15.0,"{'000': 42, '001': 127, '010': 154, '011': 479, '100': 27, '101': 76, '110': 29, '111': 90}",{'011': 1024},ibmq_manhattan
