,PST,Measured Qubits,Hop Count,Trial,PD on realdevice,PD on simulator,Backend Name
0,0.5029296875,"(4, 11, 17)",Single Execution,1.0,"{'000': 32, '001': 165, '010': 72, '011': 515, '100': 22, '101': 82, '110': 27, '111': 109}",{'011': 1024},ibmq_manhattan
1,0.5126953125,"(4, 11, 17)",Single Execution,2.0,"{'000': 29, '001': 175, '010': 89, '011': 525, '100': 13, '101': 88, '110': 18, '111': 87}",{'011': 1024},ibmq_manhattan
2,0.509765625,"(4, 11, 17)",Single Execution,3.0,"{'000': 34, '001': 148, '010': 76, '011': 522, '100': 20, '101': 83, '110': 21, '111': 120}",{'011': 1024},ibmq_manhattan
3,0.4775390625,"(4, 11, 17)",Single Execution,4.0,"{'000': 27, '001': 166, '010': 104, '011': 489, '100': 19, '101': 103, '110': 21, '111': 95}",{'011': 1024},ibmq_manhattan
4,0.4853515625,"(4, 11, 17)",Single Execution,5.0,"{'000': 35, '001': 170, '010': 83, '011': 497, '100': 12, '101': 88, '110': 19, '111': 120}",{'011': 1024},ibmq_manhattan
5,0.4892578125,"(4, 11, 17)",Single Execution,6.0,"{'000': 38, '001': 190, '010': 71, '011': 501, '100': 14, '101': 86, '110': 22, '111': 102}",{'011': 1024},ibmq_manhattan
6,0.5205078125,"(4, 11, 17)",Single Execution,7.0,"{'000': 23, '001': 170, '010': 77, '011': 533, '100': 20, '101': 85, '110': 17, '111': 99}",{'011': 1024},ibmq_manhattan
7,0.4921875,"(4, 11, 17)",Single Execution,8.0,"{'000': 42, '001': 154, '010': 78, '011': 504, '100': 18, '101': 100, '110': 19, '111': 109}",{'011': 1024},ibmq_manhattan
8,0.5205078125,"(4, 11, 17)",Single Execution,9.0,"{'000': 27, '001': 149, '010': 83, '011': 533, '100': 19, '101': 90, '110': 20, '111': 103}",{'011': 1024},ibmq_manhattan
9,0.5068359375,"(4, 11, 17)",Single Execution,10.0,"{'000': 31, '001': 173, '010': 69, '011': 519, '100': 14, '101': 105, '110': 18, '111': 95}",{'011': 1024},ibmq_manhattan
10,0.4951171875,"(4, 11, 17)",Single Execution,11.0,"{'000': 30, '001': 169, '010': 80, '011': 507, '100': 13, '101': 96, '110': 14, '111': 115}",{'011': 1024},ibmq_manhattan
11,0.513671875,"(4, 11, 17)",Single Execution,12.0,"{'000': 38, '001': 177, '010': 68, '011': 526, '100': 15, '101': 87, '110': 8, '111': 105}",{'011': 1024},ibmq_manhattan
12,0.4990234375,"(4, 11, 17)",Single Execution,13.0,"{'000': 32, '001': 163, '010': 77, '011': 511, '100': 15, '101': 90, '110': 26, '111': 110}",{'011': 1024},ibmq_manhattan
13,0.4931640625,"(4, 11, 17)",Single Execution,14.0,"{'000': 33, '001': 163, '010': 98, '011': 505, '100': 15, '101': 101, '110': 16, '111': 93}",{'011': 1024},ibmq_manhattan
14,0.5068359375,"(4, 11, 17)",Single Execution,15.0,"{'000': 43, '001': 168, '010': 90, '011': 519, '100': 17, '101': 72, '110': 17, '111': 98}",{'011': 1024},ibmq_manhattan
15,0.5390625,"(4, 11, 17)",Single Execution,16.0,"{'000': 15, '001': 157, '010': 78, '011': 552, '100': 10, '101': 80, '110': 15, '111': 117}",{'011': 1024},ibmq_manhattan
16,0.5068359375,"(4, 11, 17)",Single Execution,17.0,"{'000': 23, '001': 172, '010': 76, '011': 519, '100': 19, '101': 86, '110': 17, '111': 112}",{'011': 1024},ibmq_manhattan
17,0.5107421875,"(4, 11, 17)",Single Execution,18.0,"{'000': 27, '001': 155, '010': 88, '011': 523, '100': 18, '101': 92, '110': 22, '111': 99}",{'011': 1024},ibmq_manhattan
18,0.48828125,"(4, 11, 17)",Single Execution,19.0,"{'000': 24, '001': 184, '010': 83, '011': 500, '100': 10, '101': 102, '110': 18, '111': 103}",{'011': 1024},ibmq_manhattan
19,0.5166015625,"(4, 11, 17)",Single Execution,20.0,"{'000': 25, '001': 169, '010': 92, '011': 529, '100': 21, '101': 78, '110': 23, '111': 87}",{'011': 1024},ibmq_manhattan
20,0.521484375,"(4, 11, 17)",Single Execution,21.0,"{'000': 30, '001': 174, '010': 77, '011': 534, '100': 18, '101': 86, '110': 15, '111': 90}",{'011': 1024},ibmq_manhattan
21,0.5146484375,"(4, 11, 17)",Single Execution,22.0,"{'000': 34, '001': 167, '010': 76, '011': 527, '100': 18, '101': 95, '110': 12, '111': 95}",{'011': 1024},ibmq_manhattan
22,0.4912109375,"(4, 11, 17)",Single Execution,23.0,"{'000': 29, '001': 180, '010': 73, '011': 503, '100': 17, '101': 105, '110': 19, '111': 98}",{'011': 1024},ibmq_manhattan
23,0.5048828125,"(4, 11, 17)",Single Execution,24.0,"{'000': 25, '001': 157, '010': 92, '011': 517, '100': 19, '101': 111, '110': 19, '111': 84}",{'011': 1024},ibmq_manhattan
24,0.513671875,"(4, 11, 17)",Single Execution,25.0,"{'000': 29, '001': 166, '010': 83, '011': 526, '100': 18, '101': 79, '110': 25, '111': 98}",{'011': 1024},ibmq_manhattan
25,0.5068359375,"(4, 11, 17)",Single Execution,26.0,"{'000': 26, '001': 189, '010': 79, '011': 519, '100': 13, '101': 99, '110': 11, '111': 88}",{'011': 1024},ibmq_manhattan
26,0.5263671875,"(4, 11, 17)",Single Execution,27.0,"{'000': 28, '001': 154, '010': 68, '011': 539, '100': 19, '101': 107, '110': 13, '111': 96}",{'011': 1024},ibmq_manhattan
27,0.501953125,"(4, 11, 17)",Single Execution,28.0,"{'000': 30, '001': 174, '010': 72, '011': 514, '100': 11, '101': 103, '110': 19, '111': 101}",{'011': 1024},ibmq_manhattan
28,0.5107421875,"(4, 11, 17)",Single Execution,29.0,"{'000': 28, '001': 160, '010': 87, '011': 523, '100': 13, '101': 95, '110': 18, '111': 100}",{'011': 1024},ibmq_manhattan
29,0.5126953125,"(4, 11, 17)",Single Execution,30.0,"{'000': 29, '001': 158, '010': 91, '011': 525, '100': 16, '101': 93, '110': 18, '111': 94}",{'011': 1024},ibmq_manhattan
30,0.49609375,"(4, 11, 17)",Single Execution,31.0,"{'000': 28, '001': 160, '010': 86, '011': 508, '100': 16, '101': 88, '110': 19, '111': 119}",{'011': 1024},ibmq_manhattan
31,0.5009765625,"(4, 11, 17)",Single Execution,32.0,"{'000': 32, '001': 177, '010': 80, '011': 513, '100': 17, '101': 88, '110': 24, '111': 93}",{'011': 1024},ibmq_manhattan
32,0.4931640625,"(4, 11, 17)",Single Execution,33.0,"{'000': 28, '001': 170, '010': 92, '011': 505, '100': 20, '101': 91, '110': 26, '111': 92}",{'011': 1024},ibmq_manhattan
33,0.5224609375,"(4, 11, 17)",Single Execution,34.0,"{'000': 30, '001': 158, '010': 80, '011': 535, '100': 13, '101': 103, '110': 12, '111': 93}",{'011': 1024},ibmq_manhattan
34,0.4755859375,"(4, 11, 17)",Single Execution,35.0,"{'000': 29, '001': 168, '010': 96, '011': 487, '100': 21, '101': 100, '110': 13, '111': 110}",{'011': 1024},ibmq_manhattan
35,0.5126953125,"(4, 11, 17)",Single Execution,36.0,"{'000': 29, '001': 164, '010': 79, '011': 525, '100': 15, '101': 94, '110': 20, '111': 98}",{'011': 1024},ibmq_manhattan
36,0.5185546875,"(4, 11, 17)",Single Execution,37.0,"{'000': 31, '001': 185, '010': 94, '011': 531, '100': 15, '101': 63, '110': 17, '111': 88}",{'011': 1024},ibmq_manhattan
37,0.513671875,"(4, 11, 17)",Single Execution,38.0,"{'000': 22, '001': 169, '010': 88, '011': 526, '100': 15, '101': 81, '110': 17, '111': 106}",{'011': 1024},ibmq_manhattan
38,0.5146484375,"(4, 11, 17)",Single Execution,39.0,"{'000': 34, '001': 172, '010': 68, '011': 527, '100': 15, '101': 92, '110': 17, '111': 99}",{'011': 1024},ibmq_manhattan
39,0.5029296875,"(4, 11, 17)",Single Execution,40.0,"{'000': 31, '001': 145, '010': 84, '011': 515, '100': 15, '101': 96, '110': 21, '111': 117}",{'011': 1024},ibmq_manhattan
40,0.4912109375,"(4, 11, 17)",Single Execution,41.0,"{'000': 22, '001': 163, '010': 93, '011': 503, '100': 14, '101': 101, '110': 25, '111': 103}",{'011': 1024},ibmq_manhattan
41,0.490234375,"(4, 11, 17)",Single Execution,42.0,"{'000': 39, '001': 168, '010': 86, '011': 502, '100': 18, '101': 80, '110': 15, '111': 116}",{'011': 1024},ibmq_manhattan
42,0.513671875,"(4, 11, 17)",Single Execution,43.0,"{'000': 30, '001': 153, '010': 78, '011': 526, '100': 17, '101': 97, '110': 21, '111': 102}",{'011': 1024},ibmq_manhattan
43,0.498046875,"(4, 11, 17)",Single Execution,44.0,"{'000': 29, '001': 156, '010': 86, '011': 510, '100': 14, '101': 84, '110': 20, '111': 125}",{'011': 1024},ibmq_manhattan
44,0.498046875,"(4, 11, 17)",Single Execution,45.0,"{'000': 27, '001': 164, '010': 81, '011': 510, '100': 17, '101': 99, '110': 26, '111': 100}",{'011': 1024},ibmq_manhattan
45,0.5185546875,"(4, 11, 17)",Single Execution,46.0,"{'000': 33, '001': 165, '010': 84, '011': 531, '100': 19, '101': 85, '110': 16, '111': 91}",{'011': 1024},ibmq_manhattan
46,0.5087890625,"(4, 11, 17)",Single Execution,47.0,"{'000': 26, '001': 171, '010': 83, '011': 521, '100': 16, '101': 98, '110': 16, '111': 93}",{'011': 1024},ibmq_manhattan
47,0.509765625,"(4, 11, 17)",Single Execution,48.0,"{'000': 33, '001': 150, '010': 88, '011': 522, '100': 18, '101': 74, '110': 23, '111': 116}",{'011': 1024},ibmq_manhattan
48,0.4892578125,"(4, 11, 17)",Single Execution,49.0,"{'000': 26, '001': 180, '010': 88, '011': 501, '100': 15, '101': 91, '110': 9, '111': 114}",{'011': 1024},ibmq_manhattan
49,0.5048828125,"(4, 11, 17)",Single Execution,50.0,"{'000': 32, '001': 164, '010': 82, '011': 517, '100': 13, '101': 85, '110': 17, '111': 114}",{'011': 1024},ibmq_manhattan
50,0.501953125,"(4, 11, 17)",Single Execution,51.0,"{'000': 33, '001': 174, '010': 83, '011': 514, '100': 14, '101': 89, '110': 19, '111': 98}",{'011': 1024},ibmq_manhattan
51,0.4990234375,"(4, 11, 17)",Single Execution,52.0,"{'000': 33, '001': 174, '010': 96, '011': 511, '100': 13, '101': 77, '110': 19, '111': 101}",{'011': 1024},ibmq_manhattan
52,0.5302734375,"(4, 11, 17)",Single Execution,53.0,"{'000': 23, '001': 170, '010': 81, '011': 543, '100': 14, '101': 80, '110': 17, '111': 96}",{'011': 1024},ibmq_manhattan
53,0.5029296875,"(4, 11, 17)",Single Execution,54.0,"{'000': 36, '001': 155, '010': 92, '011': 515, '100': 14, '101': 86, '110': 21, '111': 105}",{'011': 1024},ibmq_manhattan
