,PST,Measured Qubits,Hop Count,Trial,PD on realdevice,PD on simulator,Backend Name
0,0.625,"(12, 13, 14)",Single Execution,1.0,"{'000': 20, '001': 102, '010': 94, '011': 640, '100': 13, '101': 66, '110': 22, '111': 67}",{'011': 1024},ibmq_montreal
1,0.6064453125,"(12, 13, 14)",Single Execution,2.0,"{'000': 14, '001': 106, '010': 96, '011': 621, '100': 11, '101': 71, '110': 30, '111': 75}",{'011': 1024},ibmq_montreal
2,0.60546875,"(12, 13, 14)",Single Execution,3.0,"{'000': 26, '001': 107, '010': 100, '011': 620, '100': 13, '101': 59, '110': 21, '111': 78}",{'011': 1024},ibmq_montreal
3,0.5830078125,"(12, 13, 14)",Single Execution,4.0,"{'000': 18, '001': 96, '010': 105, '011': 597, '100': 16, '101': 82, '110': 25, '111': 85}",{'011': 1024},ibmq_montreal
4,0.6064453125,"(12, 13, 14)",Single Execution,5.0,"{'000': 22, '001': 115, '010': 91, '011': 621, '100': 13, '101': 69, '110': 16, '111': 77}",{'011': 1024},ibmq_montreal
5,0.619140625,"(12, 13, 14)",Single Execution,6.0,"{'000': 16, '001': 105, '010': 96, '011': 634, '100': 15, '101': 69, '110': 19, '111': 70}",{'011': 1024},ibmq_montreal
6,0.62109375,"(12, 13, 14)",Single Execution,7.0,"{'000': 14, '001': 102, '010': 95, '011': 636, '100': 18, '101': 67, '110': 22, '111': 70}",{'011': 1024},ibmq_montreal
7,0.603515625,"(12, 13, 14)",Single Execution,8.0,"{'000': 17, '001': 111, '010': 103, '011': 618, '100': 14, '101': 61, '110': 22, '111': 78}",{'011': 1024},ibmq_montreal
8,0.5927734375,"(12, 13, 14)",Single Execution,9.0,"{'000': 24, '001': 105, '010': 91, '011': 607, '100': 17, '101': 91, '110': 16, '111': 73}",{'011': 1024},ibmq_montreal
9,0.5947265625,"(12, 13, 14)",Single Execution,10.0,"{'000': 18, '001': 126, '010': 90, '011': 609, '100': 17, '101': 71, '110': 13, '111': 80}",{'011': 1024},ibmq_montreal
10,0.6044921875,"(12, 13, 14)",Single Execution,11.0,"{'000': 20, '001': 113, '010': 95, '011': 619, '100': 14, '101': 64, '110': 24, '111': 75}",{'011': 1024},ibmq_montreal
11,0.6025390625,"(12, 13, 14)",Single Execution,12.0,"{'000': 16, '001': 102, '010': 111, '011': 617, '100': 16, '101': 71, '110': 18, '111': 73}",{'011': 1024},ibmq_montreal
12,0.6103515625,"(12, 13, 14)",Single Execution,13.0,"{'000': 18, '001': 102, '010': 85, '011': 625, '100': 12, '101': 80, '110': 25, '111': 77}",{'011': 1024},ibmq_montreal
13,0.6064453125,"(12, 13, 14)",Single Execution,14.0,"{'000': 24, '001': 115, '010': 86, '011': 621, '100': 12, '101': 60, '110': 28, '111': 78}",{'011': 1024},ibmq_montreal
14,0.6103515625,"(12, 13, 14)",Single Execution,15.0,"{'000': 16, '001': 115, '010': 97, '011': 625, '100': 16, '101': 67, '110': 26, '111': 62}",{'011': 1024},ibmq_montreal
15,0.6044921875,"(12, 13, 14)",Single Execution,16.0,"{'000': 16, '001': 116, '010': 100, '011': 619, '100': 11, '101': 68, '110': 19, '111': 75}",{'011': 1024},ibmq_montreal
16,0.59375,"(12, 13, 14)",Single Execution,17.0,"{'000': 24, '001': 111, '010': 96, '011': 608, '100': 14, '101': 72, '110': 19, '111': 80}",{'011': 1024},ibmq_montreal
17,0.6220703125,"(12, 13, 14)",Single Execution,18.0,"{'000': 13, '001': 88, '010': 103, '011': 637, '100': 12, '101': 79, '110': 23, '111': 69}",{'011': 1024},ibmq_montreal
