,PST,Measured Qubits,Hop Count,Trial,PD on realdevice,PD on simulator,Backend Name
0,0.5224609375,"(12, 13, 14)",Single Execution,1.0,"{'000': 31, '001': 127, '010': 113, '011': 535, '100': 21, '101': 72, '110': 34, '111': 91}",{'011': 1024},ibmq_montreal
1,0.5205078125,"(12, 13, 14)",Single Execution,2.0,"{'000': 26, '001': 127, '010': 110, '011': 533, '100': 19, '101': 86, '110': 32, '111': 91}",{'011': 1024},ibmq_montreal
2,0.5048828125,"(12, 13, 14)",Single Execution,3.0,"{'000': 36, '001': 131, '010': 115, '011': 517, '100': 16, '101': 95, '110': 28, '111': 86}",{'011': 1024},ibmq_montreal
3,0.5185546875,"(12, 13, 14)",Single Execution,4.0,"{'000': 25, '001': 143, '010': 116, '011': 531, '100': 19, '101': 76, '110': 26, '111': 88}",{'011': 1024},ibmq_montreal
4,0.5166015625,"(12, 13, 14)",Single Execution,5.0,"{'000': 34, '001': 123, '010': 105, '011': 529, '100': 21, '101': 97, '110': 34, '111': 81}",{'011': 1024},ibmq_montreal
5,0.5146484375,"(12, 13, 14)",Single Execution,6.0,"{'000': 41, '001': 125, '010': 111, '011': 527, '100': 20, '101': 97, '110': 33, '111': 70}",{'011': 1024},ibmq_montreal
6,0.4873046875,"(12, 13, 14)",Single Execution,7.0,"{'000': 43, '001': 135, '010': 113, '011': 499, '100': 15, '101': 98, '110': 29, '111': 92}",{'011': 1024},ibmq_montreal
7,0.5205078125,"(12, 13, 14)",Single Execution,8.0,"{'000': 33, '001': 133, '010': 102, '011': 533, '100': 14, '101': 98, '110': 28, '111': 83}",{'011': 1024},ibmq_montreal
8,0.5224609375,"(12, 13, 14)",Single Execution,9.0,"{'000': 30, '001': 141, '010': 106, '011': 535, '100': 20, '101': 97, '110': 28, '111': 67}",{'011': 1024},ibmq_montreal
9,0.4990234375,"(12, 13, 14)",Single Execution,10.0,"{'000': 28, '001': 141, '010': 122, '011': 511, '100': 19, '101': 80, '110': 27, '111': 96}",{'011': 1024},ibmq_montreal
10,0.52734375,"(12, 13, 14)",Single Execution,11.0,"{'000': 26, '001': 127, '010': 86, '011': 540, '100': 21, '101': 113, '110': 34, '111': 77}",{'011': 1024},ibmq_montreal
11,0.478515625,"(12, 13, 14)",Single Execution,12.0,"{'000': 31, '001': 151, '010': 127, '011': 490, '100': 23, '101': 81, '110': 35, '111': 86}",{'011': 1024},ibmq_montreal
12,0.5078125,"(12, 13, 14)",Single Execution,13.0,"{'000': 29, '001': 138, '010': 113, '011': 520, '100': 15, '101': 87, '110': 42, '111': 80}",{'011': 1024},ibmq_montreal
13,0.51171875,"(12, 13, 14)",Single Execution,14.0,"{'000': 35, '001': 127, '010': 107, '011': 524, '100': 18, '101': 90, '110': 31, '111': 92}",{'011': 1024},ibmq_montreal
14,0.4912109375,"(12, 13, 14)",Single Execution,15.0,"{'000': 35, '001': 127, '010': 121, '011': 503, '100': 21, '101': 102, '110': 23, '111': 92}",{'011': 1024},ibmq_montreal
15,0.5107421875,"(12, 13, 14)",Single Execution,16.0,"{'000': 26, '001': 129, '010': 133, '011': 523, '100': 12, '101': 89, '110': 35, '111': 77}",{'011': 1024},ibmq_montreal
16,0.51171875,"(12, 13, 14)",Single Execution,17.0,"{'000': 31, '001': 126, '010': 111, '011': 524, '100': 20, '101': 96, '110': 35, '111': 81}",{'011': 1024},ibmq_montreal
17,0.505859375,"(12, 13, 14)",Single Execution,18.0,"{'000': 28, '001': 129, '010': 122, '011': 518, '100': 25, '101': 82, '110': 38, '111': 82}",{'011': 1024},ibmq_montreal
18,0.5,"(12, 13, 14)",Single Execution,19.0,"{'000': 34, '001': 121, '010': 117, '011': 512, '100': 28, '101': 92, '110': 36, '111': 84}",{'011': 1024},ibmq_montreal
19,0.50390625,"(12, 13, 14)",Single Execution,20.0,"{'000': 29, '001': 134, '010': 125, '011': 516, '100': 17, '101': 81, '110': 30, '111': 92}",{'011': 1024},ibmq_montreal
20,0.49609375,"(12, 13, 14)",Single Execution,21.0,"{'000': 24, '001': 128, '010': 116, '011': 508, '100': 24, '101': 100, '110': 29, '111': 95}",{'011': 1024},ibmq_montreal
21,0.484375,"(12, 13, 14)",Single Execution,22.0,"{'000': 40, '001': 131, '010': 112, '011': 496, '100': 21, '101': 98, '110': 31, '111': 95}",{'011': 1024},ibmq_montreal
