,PST,Measured Qubits,Hop Count,Trial,PD on realdevice,PD on simulator,Backend Name
0,0.40234375,"(4, 11, 17)",Single Execution,1.0,"{'000': 42, '001': 211, '010': 90, '011': 412, '100': 29, '101': 118, '110': 27, '111': 95}",{'011': 1024},ibmq_manhattan
1,0.4189453125,"(4, 11, 17)",Single Execution,2.0,"{'000': 43, '001': 182, '010': 89, '011': 429, '100': 23, '101': 127, '110': 23, '111': 108}",{'011': 1024},ibmq_manhattan
2,0.400390625,"(4, 11, 17)",Single Execution,3.0,"{'000': 36, '001': 201, '010': 87, '011': 410, '100': 19, '101': 117, '110': 30, '111': 124}",{'011': 1024},ibmq_manhattan
3,0.458984375,"(4, 11, 17)",Single Execution,4.0,"{'000': 33, '001': 192, '010': 73, '011': 470, '100': 25, '101': 96, '110': 30, '111': 105}",{'011': 1024},ibmq_manhattan
4,0.4150390625,"(4, 11, 17)",Single Execution,5.0,"{'000': 56, '001': 179, '010': 87, '011': 425, '100': 27, '101': 108, '110': 33, '111': 109}",{'011': 1024},ibmq_manhattan
5,0.419921875,"(4, 11, 17)",Single Execution,6.0,"{'000': 52, '001': 185, '010': 100, '011': 430, '100': 23, '101': 105, '110': 26, '111': 103}",{'011': 1024},ibmq_manhattan
6,0.404296875,"(4, 11, 17)",Single Execution,7.0,"{'000': 51, '001': 209, '010': 76, '011': 414, '100': 23, '101': 109, '110': 36, '111': 106}",{'011': 1024},ibmq_manhattan
7,0.41796875,"(4, 11, 17)",Single Execution,8.0,"{'000': 52, '001': 193, '010': 70, '011': 428, '100': 30, '101': 115, '110': 29, '111': 107}",{'011': 1024},ibmq_manhattan
8,0.41796875,"(4, 11, 17)",Single Execution,9.0,"{'000': 58, '001': 192, '010': 81, '011': 428, '100': 21, '101': 107, '110': 30, '111': 107}",{'011': 1024},ibmq_manhattan
9,0.41015625,"(4, 11, 17)",Single Execution,10.0,"{'000': 58, '001': 191, '010': 80, '011': 420, '100': 22, '101': 137, '110': 28, '111': 88}",{'011': 1024},ibmq_manhattan
10,0.4033203125,"(4, 11, 17)",Single Execution,11.0,"{'000': 59, '001': 174, '010': 86, '011': 413, '100': 18, '101': 113, '110': 28, '111': 133}",{'011': 1024},ibmq_manhattan
11,0.3759765625,"(4, 11, 17)",Single Execution,12.0,"{'000': 54, '001': 204, '010': 82, '011': 385, '100': 19, '101': 133, '110': 23, '111': 124}",{'011': 1024},ibmq_manhattan
12,0.38671875,"(4, 11, 17)",Single Execution,13.0,"{'000': 53, '001': 189, '010': 79, '011': 396, '100': 22, '101': 137, '110': 32, '111': 116}",{'011': 1024},ibmq_manhattan
13,0.408203125,"(4, 11, 17)",Single Execution,14.0,"{'000': 50, '001': 207, '010': 82, '011': 418, '100': 26, '101': 101, '110': 36, '111': 104}",{'011': 1024},ibmq_manhattan
14,0.3935546875,"(4, 11, 17)",Single Execution,15.0,"{'000': 50, '001': 198, '010': 77, '011': 403, '100': 25, '101': 127, '110': 34, '111': 110}",{'011': 1024},ibmq_manhattan
