,PST,Measured Qubits,Hop Count,Trial,PD on realdevice,PD on simulator,Backend Name
0,0.4248046875,"(12, 13, 14)",Single Execution,1.0,"{'000': 47, '001': 164, '010': 110, '011': 435, '100': 29, '101': 95, '110': 50, '111': 94}",{'011': 1024},ibmq_montreal
1,0.41796875,"(12, 13, 14)",Single Execution,2.0,"{'000': 42, '001': 146, '010': 138, '011': 428, '100': 37, '101': 81, '110': 40, '111': 112}",{'011': 1024},ibmq_montreal
2,0.4326171875,"(12, 13, 14)",Single Execution,3.0,"{'000': 47, '001': 147, '010': 130, '011': 443, '100': 36, '101': 89, '110': 42, '111': 90}",{'011': 1024},ibmq_montreal
3,0.4130859375,"(12, 13, 14)",Single Execution,4.0,"{'000': 38, '001': 158, '010': 128, '011': 423, '100': 31, '101': 98, '110': 43, '111': 105}",{'011': 1024},ibmq_montreal
4,0.41015625,"(12, 13, 14)",Single Execution,5.0,"{'000': 31, '001': 137, '010': 126, '011': 420, '100': 34, '101': 97, '110': 52, '111': 127}",{'011': 1024},ibmq_montreal
5,0.41796875,"(12, 13, 14)",Single Execution,6.0,"{'000': 49, '001': 148, '010': 128, '011': 428, '100': 31, '101': 83, '110': 47, '111': 110}",{'011': 1024},ibmq_montreal
6,0.40625,"(12, 13, 14)",Single Execution,7.0,"{'000': 52, '001': 148, '010': 118, '011': 416, '100': 36, '101': 95, '110': 55, '111': 104}",{'011': 1024},ibmq_montreal
7,0.41015625,"(12, 13, 14)",Single Execution,8.0,"{'000': 38, '001': 145, '010': 136, '011': 420, '100': 34, '101': 92, '110': 55, '111': 104}",{'011': 1024},ibmq_montreal
8,0.4453125,"(12, 13, 14)",Single Execution,9.0,"{'000': 45, '001': 149, '010': 136, '011': 456, '100': 21, '101': 97, '110': 33, '111': 87}",{'011': 1024},ibmq_montreal
9,0.4580078125,"(12, 13, 14)",Single Execution,10.0,"{'000': 42, '001': 152, '010': 113, '011': 469, '100': 30, '101': 76, '110': 32, '111': 110}",{'011': 1024},ibmq_montreal
10,0.427734375,"(12, 13, 14)",Single Execution,11.0,"{'000': 43, '001': 142, '010': 126, '011': 438, '100': 42, '101': 82, '110': 47, '111': 104}",{'011': 1024},ibmq_montreal
11,0.4287109375,"(12, 13, 14)",Single Execution,12.0,"{'000': 47, '001': 132, '010': 123, '011': 439, '100': 32, '101': 102, '110': 50, '111': 99}",{'011': 1024},ibmq_montreal
12,0.400390625,"(12, 13, 14)",Single Execution,13.0,"{'000': 45, '001': 146, '010': 142, '011': 410, '100': 33, '101': 96, '110': 41, '111': 111}",{'011': 1024},ibmq_montreal
13,0.427734375,"(12, 13, 14)",Single Execution,14.0,"{'000': 51, '001': 131, '010': 143, '011': 438, '100': 25, '101': 86, '110': 48, '111': 102}",{'011': 1024},ibmq_montreal
14,0.3994140625,"(12, 13, 14)",Single Execution,15.0,"{'000': 54, '001': 134, '010': 140, '011': 409, '100': 31, '101': 94, '110': 52, '111': 110}",{'011': 1024},ibmq_montreal
15,0.435546875,"(12, 13, 14)",Single Execution,16.0,"{'000': 48, '001': 146, '010': 116, '011': 446, '100': 28, '101': 98, '110': 46, '111': 96}",{'011': 1024},ibmq_montreal
16,0.4365234375,"(12, 13, 14)",Single Execution,17.0,"{'000': 46, '001': 136, '010': 118, '011': 447, '100': 25, '101': 100, '110': 51, '111': 101}",{'011': 1024},ibmq_montreal
17,0.4326171875,"(12, 13, 14)",Single Execution,18.0,"{'000': 47, '001': 148, '010': 124, '011': 443, '100': 27, '101': 98, '110': 32, '111': 105}",{'011': 1024},ibmq_montreal
18,0.4248046875,"(12, 13, 14)",Single Execution,19.0,"{'000': 49, '001': 144, '010': 129, '011': 435, '100': 27, '101': 109, '110': 37, '111': 94}",{'011': 1024},ibmq_montreal
19,0.4306640625,"(12, 13, 14)",Single Execution,20.0,"{'000': 39, '001': 175, '010': 112, '011': 441, '100': 26, '101': 91, '110': 53, '111': 87}",{'011': 1024},ibmq_montreal
20,0.4150390625,"(12, 13, 14)",Single Execution,21.0,"{'000': 44, '001': 138, '010': 129, '011': 425, '100': 30, '101': 97, '110': 58, '111': 103}",{'011': 1024},ibmq_montreal
