,PST,Measured Qubits,Hop Count,Trial,PD on realdevice,PD on simulator,Backend Name
0,0.654296875,"(4, 11, 17)",Single Execution,1.0,"{'000': 13, '001': 121, '010': 62, '011': 670, '100': 2, '101': 85, '110': 6, '111': 65}",{'011': 1024},ibmq_manhattan
1,0.66796875,"(4, 11, 17)",Single Execution,2.0,"{'000': 11, '001': 125, '010': 60, '011': 684, '100': 12, '101': 71, '110': 11, '111': 50}",{'011': 1024},ibmq_manhattan
2,0.70703125,"(4, 11, 17)",Single Execution,3.0,"{'000': 7, '001': 110, '010': 67, '011': 724, '100': 5, '101': 58, '110': 6, '111': 47}",{'011': 1024},ibmq_manhattan
3,0.6962890625,"(4, 11, 17)",Single Execution,4.0,"{'000': 12, '001': 117, '010': 54, '011': 713, '100': 7, '101': 69, '110': 9, '111': 43}",{'011': 1024},ibmq_manhattan
4,0.6796875,"(4, 11, 17)",Single Execution,5.0,"{'000': 7, '001': 121, '010': 54, '011': 696, '100': 4, '101': 69, '110': 13, '111': 60}",{'011': 1024},ibmq_manhattan
5,0.68359375,"(4, 11, 17)",Single Execution,6.0,"{'000': 14, '001': 101, '010': 56, '011': 700, '100': 6, '101': 79, '110': 13, '111': 55}",{'011': 1024},ibmq_manhattan
6,0.6767578125,"(4, 11, 17)",Single Execution,7.0,"{'000': 9, '001': 103, '010': 58, '011': 693, '100': 5, '101': 75, '110': 10, '111': 71}",{'011': 1024},ibmq_manhattan
7,0.6796875,"(4, 11, 17)",Single Execution,8.0,"{'000': 5, '001': 121, '010': 51, '011': 696, '100': 5, '101': 70, '110': 5, '111': 71}",{'011': 1024},ibmq_manhattan
8,0.7001953125,"(4, 11, 17)",Single Execution,9.0,"{'000': 16, '001': 112, '010': 49, '011': 717, '100': 2, '101': 75, '110': 10, '111': 43}",{'011': 1024},ibmq_manhattan
9,0.7099609375,"(4, 11, 17)",Single Execution,10.0,"{'000': 10, '001': 97, '010': 51, '011': 727, '100': 2, '101': 73, '110': 7, '111': 57}",{'011': 1024},ibmq_manhattan
10,0.666015625,"(4, 11, 17)",Single Execution,11.0,"{'000': 15, '001': 120, '010': 51, '011': 682, '100': 6, '101': 83, '110': 9, '111': 58}",{'011': 1024},ibmq_manhattan
11,0.669921875,"(4, 11, 17)",Single Execution,12.0,"{'000': 12, '001': 120, '010': 63, '011': 686, '100': 5, '101': 72, '110': 4, '111': 62}",{'011': 1024},ibmq_manhattan
12,0.6767578125,"(4, 11, 17)",Single Execution,13.0,"{'000': 19, '001': 108, '010': 54, '011': 693, '100': 8, '101': 78, '110': 10, '111': 54}",{'011': 1024},ibmq_manhattan
13,0.68359375,"(4, 11, 17)",Single Execution,14.0,"{'000': 13, '001': 124, '010': 45, '011': 700, '100': 5, '101': 76, '110': 6, '111': 55}",{'011': 1024},ibmq_manhattan
14,0.69140625,"(4, 11, 17)",Single Execution,15.0,"{'000': 12, '001': 111, '010': 40, '011': 708, '100': 6, '101': 78, '110': 8, '111': 61}",{'011': 1024},ibmq_manhattan
15,0.671875,"(4, 11, 17)",Single Execution,16.0,"{'000': 11, '001': 111, '010': 60, '011': 688, '100': 4, '101': 80, '110': 8, '111': 62}",{'011': 1024},ibmq_manhattan
